,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
128,129,18,"""The Contractual Obligation Implementation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,2013-03-07,3X7618,17.6,6
129,130,19,"""The Closet Reconfiguration""",Anthony Rich,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Steve Holland & Eric Kaplan,2013-03-14,3X7619,15.9,6
130,131,20,"""The Tenure Turbulence""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Maria FerrariTeleplay by : Chuck Lorre & Steve Holland & Jim Reynolds,2013-04-04,3X7620,17.2,6
131,132,21,"""The Closure Alternative""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,2013-04-25,3X7621,15.0,6
132,133,22,"""The Proton Resurgence""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,2013-05-02,3X7622,16.2,6
133,134,23,"""The Love Spell Potential""",Anthony Rich,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2013-05-09,3X7623,16.3,6
134,135,24,"""The Bon Voyage Reaction""",Mark Cendrowski,Story by : Steven Molaro & Steve Holland & Tara HernandezTeleplay by : Chuck Lorre & Jim Reynolds & Maria Ferrari,2013-05-16,3X7624,15.4,6
135,136,1,"""The Hofstadter Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Tara HernandezTeleplay by : Eric Kaplan & Jim Reynolds & Steve Holland,2013-09-26,4X5301,18.9,7
136,137,2,"""The Deception Verification""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2013-09-26,4X5302,20.4,7
137,138,3,"""The Scavenger Vortex""",Mark Cendrowski,Story by : Dave Goetsch & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,2013-10-03,4X5303,18.2,7
138,139,4,"""The Raiders Minimization""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Tara HernandezTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2013-10-10,4X5304,17.6,7
